format	category	achievable_depth	witnessed_depth	good_valid/total	corrupt_rejected/total	opacity	sweep_evidence	streaming	status	notes
3mf	3d	full	full	2/2	1/5	transparent	-	-	deep	-
aac_adts	audio	full	full	1/1	1/5	mixed	-	-	deep	-
ac3	audio	full	full	8/8	4/5	transparent	-	-	deep	-
accdb	database	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
aep	image	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
ai	image	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
aiff	audio	full	structural	1/1	0/5	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
alac	-	full	-	0/0	0/0	mixed	-	-	unwitnessed	no labeled-good fixture in corpus
als	project	full	full	1/1	0/0	transparent	-	-	deep	-
amr	audio	structural	structural	1/1	1/6	mixed	-	-	structural-ceiling	-
ape	audio	full	full	2/3	5/5	transparent	-	-	deep	1 labeled-good fixture(s) rejected
apple_double	-	structural	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
apple_media_db	data	structural	structural	2/2	0/0	transparent	-	-	structural-ceiling	-
ar	archive	full	structural	1/1	5/5	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
arw	image	full	full	1/1	0/0	mixed	-	-	deep	-
asf	video	full	full	1/1	1/6	mixed	-	-	deep	-
au	audio	structural	structural	1/1	1/6	mixed	-	-	structural-ceiling	-
av1	-	full	-	0/0	0/0	mixed	-	-	unwitnessed	no labeled-good fixture in corpus
avi	video	full	full	3/3	5/10	mixed	-	-	deep	-
avif	image	full	full	7/7	0/5	mixed	-	-	deep	-
bagit	bundle	full	full	1/1	0/0	transparent	-	-	deep	-
bai2	financial	full	full	1/1	0/0	mixed	-	-	deep	-
band	-	full	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
beam	other	structural	structural	1/1	1/5	transparent	-	-	structural-ceiling	-
blar	archive	full	full	1/1	0/0	transparent	-	-	deep	-
blend	3d	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
blorb	game	structural	structural	2/2	0/0	mixed	-	-	structural-ceiling	-
bmp	image	full	full	1/1	0/5	mixed	-	-	deep	-
br	archive	structural	structural	3/3	1/5	transparent	-	-	structural-ceiling	-
bsp	game	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
bwproject	project	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
bzip2	archive	full	full	2/2	5/5	transparent	-	-	deep	-
cab	archive	full	full	2/2	0/0	transparent	-	-	deep	-
caf	audio	structural	structural	1/1	1/6	mixed	-	-	structural-ceiling	-
cdg	other	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
chd	game	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
chromium_pak	game	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
cif	scientific	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
coff	-	structural	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
cpr	project	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
cpt	archive	full	full	1/1	5/5	transparent	-	-	deep	-
cr2	image	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
cr3	image	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
csv	data	structural	structural	2/2	0/6	opaque	-	-	structural-ceiling	-
cwk	document	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
dbf	database	full	structural	2/2	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
der	crypto	full	full	1/1	0/0	mixed	-	-	deep	-
dff	audio	structural	structural	1/1	2/5	transparent	-	-	structural-ceiling	-
dicom	scientific	full	structural	3/3	0/5	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
dmg	disk_image	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
dng	image	full	mixed	3/3	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
doc	document	full	mixed	6/6	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
docx	document	full	-	0/0	2/5	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
dpx	image	structural	structural	1/1	1/6	mixed	-	-	structural-ceiling	-
drp	project	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
ds_store	other	structural	structural	1/1	2/8	opaque	-	-	structural-ceiling	-
dsf	audio	structural	structural	1/1	0/5	transparent	-	-	structural-ceiling	-
dts	audio	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
dv	video	structural	structural	1/1	0/5	transparent	-	-	structural-ceiling	-
dwg	3d	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
dxf	3d	structural	structural	1/1	0/5	opaque	-	-	structural-ceiling	-
eac3	audio	full	full	5/5	5/5	transparent	-	-	deep	-
edifact	financial	full	full	1/1	0/0	mixed	-	-	deep	-
eex	data	structural	structural	1/1	0/5	transparent	-	-	structural-ceiling	-
elf	executable	full	structural	1/1	5/5	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
eml	text	structural	structural	1/1	5/5	opaque	-	-	structural-ceiling	-
eps	image	structural	structural	2/2	0/5	opaque	-	-	structural-ceiling	-
epub	ebook	full	full	4/4	13/20	transparent	-	-	deep	-
erlang_term	data	structural	structural	1/1	0/5	transparent	-	-	structural-ceiling	-
esd	disk_image	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
exr	image	full	full	2/2	0/0	mixed	-	-	deep	-
fasta	scientific	structural	structural	1/1	4/5	opaque	-	-	structural-ceiling	-
fastq	scientific	structural	structural	1/1	5/5	opaque	-	-	structural-ceiling	-
fcpxml	-	structural	-	0/0	0/0	mixed	-	-	unwitnessed	no labeled-good fixture in corpus
fits	scientific	full	mixed	2/2	0/5	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
flac	audio	full	full	3/3	5/5	transparent	-	flac:streams	deep	-
flp	project	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
flv	video	full	structural	1/1	1/5	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
gb	game	full	full	2/2	0/0	transparent	-	-	deep	-
gba	game	full	structural	2/2	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
gcode	3d	full	full	1/1	0/0	transparent	-	-	deep	-
genesis	game	full	full	2/2	0/0	transparent	-	-	deep	-
gif	image	full	full	2/2	4/6	mixed	-	-	deep	-
